ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_TifNum,Metadata_Well,Metadata_Z,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_YFP,Number_Object_Number,Parent_Trans_1,TrackObjects_Displacement_1500,TrackObjects_DistanceTraveled_1500,TrackObjects_FinalAge_1500,TrackObjects_IntegratedDistance_1500,TrackObjects_Label_1500,TrackObjects_Lifetime_1500,TrackObjects_Linearity_1500,TrackObjects_ParentImageNumber_1500,TrackObjects_ParentObjectNumber_1500,TrackObjects_TrajectoryX_1500,TrackObjects_TrajectoryY_1500
1,1,0,nan,monochrome,nan,nan,0,nan,0,0,nan,1,1,494,442,161,0,nan,nan,0,19924,180.0,122.0,1.0,1.4566504015873143,0.89761863721851809,1.0,0.50961735215878867,0.37532185741279589,248.25397187753933,249.64975465639858,53.235326616824658,18.311554447472659,16.446820984663685,115.98589756735424,109.42363234196418,51.420641905770289,816.75399999999672,0.85735186539868324,2.2695658802986145,66.524788265582174,0.0033112077508121729,3.0518043786287308e-05,0.087169138757240236,0.0034790569916367531,0.0035400930792093277,0.0033326958594693313,0.0033389273371603181,0.0033417257945984602,0.003219653619453311,0.00317387655377388,4.3311316423094668e-05,4.4267933692689965e-05,0.0033722438383847475,202.61855259831978,153.36117950263574,0.0,202.69815298132906,153.39670748845614,210.0,190.0,0.0,1,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
2,1,0,nan,monochrome,nan,nan,1,nan,0,0,nan,1,1,494,442,161,0,nan,nan,1,20871,176.0,122.0,1.0,1.4102187906002464,0.89230491666560718,1.0,0.534331797235023,0.4633740873885423,249.01295058532807,255.40947515705051,54.918120870983927,19.278179095368287,17.262676501632068,125.13790366113764,112.41271357432611,53.839696702092319,752.3339999999971,0.88303611093482248,2.1112687871791422,70.028717462904751,0.0033264667727053165,3.0518043786287308e-05,0.11348220562560159,0.0034637979697436094,0.0036011291667819023,0.0033459093299194015,0.0033553120340618441,0.0033569848164916039,0.003219653619453311,0.0032043945975601673,4.0729056291424886e-05,4.6157390987494055e-05,0.0033875028602778912,202.67499845293389,153.68727104511069,0.0,202.77859230511237,153.73360164822003,188.0,157.0,0.0,1,1,0.34636420094133757,0.34636420094133757,nan,0.34636420094133757,1,2,1.0,1.0,1,0.080439323783309646,0.33689415976388659
3,1,0,nan,monochrome,nan,nan,2,nan,0,0,nan,1,1,494,442,161,0,nan,nan,2,20921,176.0,119.0,1.0,1.3789310309014708,0.88180363655750316,1.0,0.53092247176754215,0.42495824377489494,244.64586346143656,245.50560075077718,56.850681614207581,19.671386577481837,17.691806012954132,126.21262801484382,115.37908382948424,53.252021502707265,786.54399999999691,0.87154491866108441,2.2002441438380629,70.385549689875916,0.0033264667727053165,3.0518043786287308e-05,0.14098975997253776,0.0034943160135298967,0.003570611122995615,0.0033489256375008568,0.0033643492036650215,0.0033569848164916039,0.0032043945975601673,0.00317387655377388,4.4770125305192261e-05,4.830466294915429e-05,0.0034027618821710348,203.27427782801328,151.76887071112318,0.0,203.40428277806987,151.82343100234215,203.0,198.0,0.0,1,1,1.724476207897466,2.0100349410702569,nan,2.3563991420115946,1,3,0.73182686971500377,2.0,1,0.62569047295750124,-1.9101706458778835
4,1,0,nan,monochrome,nan,nan,3,nan,0,0,nan,1,1,494,442,161,0,nan,nan,3,21825,172.0,120.0,1.0,1.3843216705562946,0.88820424099711326,1.0,0.5487115021998743,0.48531035031493103,251.52868111221039,252.53316613862822,56.603886792339623,20.34123855609954,18.439088914585774,124.3315830222606,115.56455794361646,52.618991315329993,751.74799999999709,0.89836996789330703,2.1125352859962732,73.56604865915142,0.0033417257945984602,3.0518043786287308e-05,0.16822732117054509,0.0035095750354230404,0.0036316472105681896,0.003353230612692497,0.0033707238789989196,0.0033722438383847475,0.0032349126413464546,0.0031891355756670237,4.5699756967632223e-05,5.0861250777424244e-05,0.0034027618821710348,199.51657954708327,153.97813302259149,0.0,199.67207331042383,154.04233676975946,135.0,121.0,0.0,1,1,3.0941873478414585,4.3419961210328797,nan,6.6983952630444747,1,4,0.46192964528568675,3.0,1,-3.7322094676460438,2.2189057674173114
5,1,0,nan,monochrome,nan,nan,4,nan,0,0,nan,1,1,494,442,161,0,nan,nan,4,22860,178.0,120.0,1.0,1.3815514394278245,0.88936071966940033,1.0,0.5531492728724563,0.48253483284719578,257.38187224475035,250.83859352181037,59.135437767890075,20.643166885078585,18.867962264113206,127.16743330980141,117.67658803675866,54.736037235604776,771.57599999999707,0.9009754655631097,2.1755550464149565,77.23196763289161,0.0033417257945984602,3.0518043786287308e-05,0.19703952691016557,0.0035400930792093277,0.0036316472105681896,0.0033573380345909821,0.0033784762744047073,0.0033722438383847475,0.0032043945975601673,0.00317387655377388,4.6193743658656664e-05,5.3782899693838603e-05,0.0034180209040641785,202.51358646634517,157.08482776593104,0.0,202.69982502187227,157.14916885389326,200.0,203.0,0.0,1,1,3.7524617379551981,4.3381662053432386,nan,11.036561468387713,1,5,0.34000279423110757,4.0,1,3.0277517114484453,3.1068320841337993
6,1,0,nan,monochrome,nan,nan,5,nan,0,0,nan,1,1,494,442,161,0,nan,nan,5,22741,183.0,118.0,1.0,1.3510082321169887,0.88189073270729812,1.0,0.56716380686352752,0.50502841430643775,252.48184184833016,245.10609947530887,58.523499553598128,20.764375793367837,19.0,125.64632296464745,119.03353716704459,56.198805012824494,752.23199999999702,0.90706393841490185,2.109117265092209,76.949553655693308,0.0033417257945984602,4.5777065679430962e-05,0.1980086469188943,0.0034790569916367531,0.003616388188675046,0.003358466982630906,0.0033837365839537972,0.0033875028602778912,0.003219653619453311,0.0031891355756670237,4.4022655221470721e-05,5.6127473132728816e-05,0.0034180209040641785,204.50786206081474,153.62059406820177,0.0,204.69376896354601,153.68875599138121,169.0,148.0,0.0,1,1,2.0168726971577766,3.9937788648817536,nan,15.030340333269468,1,6,0.13418676173908414,5.0,1,1.9939439416737343,-3.4604128625120438
7,1,0,nan,monochrome,nan,nan,6,nan,0,0,nan,1,1,494,442,161,0,nan,nan,6,23162,187.0,116.0,1.0,1.3315455445925044,0.87426047726983502,1.0,0.56311387727316931,0.47304921050329529,251.59104100129434,245.22030910999194,57.070132293521098,20.551737909484622,18.601075237738275,133.00478475113434,122.13666283664696,58.118134456028059,784.40399999999704,0.87319748920849771,2.2239261458162218,78.404272507876158,0.0033417257945984602,3.0518043786287308e-05,0.21409274519963156,0.0034790569916367531,0.0036316472105681896,0.0033594050541030543,0.0033850389650235801,0.0033875028602778912,0.0032349126413464546,0.0032043945975601673,4.1701543062610668e-05,5.6571537443066888e-05,0.0034180209040641785,204.78802539554522,151.53641647386334,0.0,204.98139193506606,151.62831361713151,208.0,202.0,0.0,1,2,2.887974550441978,2.0804205707860559,nan,17.110760904055525,1,7,0.1687811878522294,6.0,1,0.2876229715200509,-2.0604423742497033
8,1,0,nan,monochrome,nan,nan,7,nan,0,0,nan,1,1,494,442,161,0,nan,nan,7,22763,185.0,119.0,1.0,1.3163692449060644,0.87393675071604826,1.0,0.57412732041969328,0.49229853500602944,247.93406909624548,241.1514047232568,57.30619512757761,20.505360198714111,18.601075237738275,129.43845013451431,120.50579183322832,58.586428657520806,762.26399999999728,0.88115975690008896,2.1710841530002654,77.079392672982067,0.0033417257945984602,3.0518043786287308e-05,0.24773453394654457,0.0035095750354230404,0.0036621652543544769,0.0033608113823533521,0.0033861702180284703,0.0033875028602778912,0.0032501716632395983,0.0032043945975601673,4.4090064119711459e-05,5.7800941896678419e-05,0.0034180209040641785,205.95085063580419,156.49038127662877,0.0,206.16794798576638,156.6097175240522,164.0,104.0,0.0,1,1,4.728943947823776,5.120771440450965,nan,22.231532344506491,1,8,0.21271336021928866,7.0,1,1.1865560507003181,4.9814039069206899
9,1,0,nan,monochrome,nan,nan,8,nan,0,0,nan,1,1,494,442,161,0,nan,nan,8,22868,188.0,121.0,1.0,1.3021367206853784,0.86897246488742286,1.0,0.58070086338242766,0.52162536195716913,246.29840290765731,242.03305559365234,55.785302723925412,21.094858758301751,19.104973174542799,130.89443072971886,121.88333608158348,57.587380978664754,742.23199999999702,0.88014779462704962,2.084260318428278,77.49213395616971,0.0033417257945984602,4.5777065679430962e-05,0.25041188837000566,0.0034943160135298967,0.0036469062324613333,0.0033617101910133514,0.0033886712417425971,0.0033875028602778912,0.0032501716632395983,0.0031891355756670237,4.4531784561673831e-05,5.7812912072424559e-05,0.0034180209040641785,207.89864243931265,159.0466750957527,0.0,208.11277768060171,159.17649116669583,184.0,120.0,0.0,1,1,7.9198522714264854,3.2203554888371135,nan,25.451887833343605,1,9,0.31116954165776933,8.0,1,1.9448296948353345,2.566773642643625
10,1,0,nan,monochrome,nan,nan,9,nan,0,0,nan,1,1,494,442,161,0,nan,nan,9,22910,188.0,122.0,1.0,1.3044782662512011,0.87067395108441259,1.0,0.57115077782209811,0.5668240229531234,247.03960187986684,239.95416228938393,56.080299571239813,21.568895146992912,19.798989873223331,123.16449630751929,121.50905209582734,57.662271470861398,712.67799999999716,0.9032665050170523,2.002258334774524,77.671976788202301,0.0033417257945984602,4.5777065679430962e-05,0.2396655832544701,0.0034790569916367531,0.0036774242762476206,0.0033651400584445781,0.0033903088951637845,0.0033875028602778912,0.0032349126413464546,0.00317387655377388,4.2066423585792527e-05,5.8481147500043265e-05,0.0034332799259573221,208.7814127565477,161.24747963403641,0.0,208.99305979921431,161.35993016150152,183.0,125.0,0.0,1,1,10.150801307599425,2.3542095175211575,nan,27.806097350864761,1,10,0.36505667010777898,9.0,1,0.8802821186125982,2.183438994805698
