ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_TifNum,Metadata_Well,Metadata_Z,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_YFP,Number_Object_Number,TrackObjects_Displacement_1500,TrackObjects_DistanceTraveled_1500,TrackObjects_FinalAge_1500,TrackObjects_IntegratedDistance_1500,TrackObjects_Label_1500,TrackObjects_Lifetime_1500,TrackObjects_Linearity_1500,TrackObjects_ParentImageNumber_1500,TrackObjects_ParentObjectNumber_1500,TrackObjects_TrajectoryX_1500,TrackObjects_TrajectoryY_1500
1,1,0,nan,monochrome,nan,nan,0,nan,0,0,nan,1,1,578,662,161,0,nan,nan,0,8686,208.0,295.0,1.0,1.0510689066969752,0.60844377255218807,1.0,0.71383957922419461,0.70218417153723023,119.2402199013511,120.33287165193059,44.407206622349037,16.11459837312141,14.142135623730951,94.953468663722532,94.628679082683718,89.614740281322895,394.26599999999905,0.92933183544642384,1.1460288392845541,28.968001824337989,0.0032959487289190292,3.0518043786287308e-05,0.10545735527014458,0.0034485389478504658,0.0035400930792093277,0.0033218227225639248,0.0033350220843124554,0.0033264667727053165,0.003219653619453311,0.0031433585099875927,4.4293797129028994e-05,5.0498562374968429e-05,0.0033722438383847475,206.87370747643564,302.64912995978756,0.0,206.95843886714252,302.5863458438867,195.0,329.0,0.0,1,0.0,0.0,nan,0.0,1,1.0,nan,0.0,0,0.0,0.0
2,1,0,nan,monochrome,nan,nan,1,nan,0,0,nan,1,1,578,662,161,0,nan,nan,1,8818,204.0,322.0,1.0,1.0512042476387791,0.64655082551340248,1.0,0.73483333333333334,0.77245764456152033,121.9521108349534,124.19742348374221,43.0,16.130864742690118,14.317821063276353,92.157807799781878,93.033718145047942,-88.595567122582551,378.74999999999909,0.95267934312878155,1.0881818872876465,29.814862280385569,0.0033264667727053165,4.5777065679430962e-05,0.29339974439002048,0.0034790569916367531,0.0037079423200339079,0.0033482519608850664,0.0033811365706946663,0.0033722438383847475,0.003219653619453311,0.00317387655377388,4.8604979129794567e-05,7.3298324461415094e-05,0.0034180209040641785,201.85433874622106,310.38473230950956,0.0,202.04445452483557,310.16126105692899,203.0,359.0,0.0,1,9.0292071967154079,9.0292071967154079,nan,9.0292071967154079,1,2.0,1.0,1.0,1,-4.9139843423069465,7.5749152130422885
3,1,0,nan,monochrome,nan,nan,2,nan,0,0,nan,1,1,578,662,161,0,nan,nan,2,9083,201.0,325.0,1.0,1.0566924940434634,0.67327326316645353,1.0,0.7278044871794872,0.76746223022682125,125.49843596076727,129.18978287774928,43.737855457258078,16.409262459146916,14.560219778561036,93.301969490089618,92.792758807883033,-86.976750526303036,385.64799999999912,0.94462066455202498,1.111070420127362,31.194567781174555,0.0033417257945984602,7.6295109465718269e-05,0.5572599700423172,0.0036469062324613333,0.0039826049469411373,0.0033668800609920062,0.0034343903755559347,0.0034027618821710348,0.0032349126413464546,0.00317387655377388,7.8110260624159267e-05,0.00011723671960249202,0.0035095750354230404,201.51840940037047,315.11448509477668,0.0,201.9115930859848,314.71958603985468,196.0,362.0,0.0,1,13.141010995804026,4.5602608271784106,nan,13.589468023893819,1,3.0,0.9669996627313675,2.0,1,-0.1328614388507674,4.5583249829256829
4,1,0,nan,monochrome,nan,nan,3,nan,0,0,nan,1,1,578,662,161,0,nan,nan,3,9949,208.0,312.0,1.0,1.0512267634512493,0.65651408366697428,1.0,0.74624962496249625,0.73953567659567432,130.0665774985126,131.7459676802292,47.0,17.111613831441328,15.0,96.913506602741705,98.11100993551716,-75.319186237694126,411.16399999999908,0.94495892102388757,1.2101625085342675,34.637048911303282,0.0033569848164916039,0.00010681315325200558,0.82644418540132347,0.00395208690315485,0.0041351951658725739,0.0033993328891412009,0.0034814603388585064,0.0034485389478504658,0.0032349126413464546,0.0031891355756670237,0.00013702134169441839,0.00015692463760360559,0.0035858701448887587,208.07697122582846,311.36273223161754,0.0,208.71444366267966,310.83676751432307,195.0,359.0,0.0,1,8.4352243942858713,7.8329468063461851,nan,21.422414830240005,1,4.0,0.39375693455336602,3.0,1,6.8028505766948513,-3.8828185255316043
5,1,0,nan,monochrome,nan,nan,4,nan,0,0,nan,1,1,578,662,161,0,nan,nan,4,9906,207.0,318.0,1.0,1.0677156648614452,0.68800583614583222,1.0,0.72475856014047413,0.71851043941069359,132.59963670250664,133.98880550254935,45.177427992306072,16.72945475321827,14.866068747318506,95.876214228986797,96.228239671863989,-71.088421411180477,416.23399999999896,0.93154034229828853,1.2353856724221259,34.99020374706015,0.0033569848164916039,0.00015259021893143654,1.0819107651683477,0.0040588998235762119,0.0043183034285902977,0.0034221209762385759,0.0035322232734766958,0.0034943160135298967,0.0032349126413464546,0.003219653619453311,0.00016975576326853134,0.00019621113175388188,0.0036774242762476206,207.66621833785405,315.44979230734333,0.0,208.54492226933172,314.81859479103576,197.0,360.0,0.0,1,12.334700802632025,3.985434225322988,nan,25.407849055562991,1,5.0,0.4854681234786134,4.0,1,-0.16952139334793515,3.9818272767126928
6,1,0,nan,monochrome,nan,nan,5,nan,0,0,nan,1,1,578,662,161,0,nan,nan,5,10198,209.0,319.0,1.0,1.0676812054820428,0.68358807707927116,1.0,0.70224486985263734,0.69925312508296111,134.26987476995146,137.7679207943562,45.276925690687087,16.81853375126008,14.866068747318506,100.78266146793696,97.999288955323706,-64.944423805881172,428.09999999999889,0.92645923234158545,1.2570992612745613,36.388769455719739,0.0033722438383847475,0.00016784924082458019,1.2725624973534513,0.0042725261300802231,0.004348821472376585,0.0034535693991059376,0.0035682260693978957,0.0035400930792093277,0.003219653619453311,0.0032043945975601673,0.00020607665936731405,0.00022489464860624649,0.0037079423200339079,210.56843261163419,315.62715115707135,0.0,211.61972935869778,314.91008040792315,179.0,364.0,0.0,1,13.175813547993535,3.076167787184739,nan,28.484016842747732,1,6.0,0.46256866160182064,5.0,1,3.0748070893660611,0.091485616887382548
7,1,0,nan,monochrome,nan,nan,6,nan,0,0,nan,1,1,578,662,161,0,nan,nan,6,10956,215.0,314.0,1.0,1.0638354212132477,0.67990637556785205,1.0,0.66412074922713216,0.71561768702446915,138.68898769101989,142.04224723651762,47.423622805517503,17.642102850518288,15.620499351813308,105.21609773857938,101.70048625041748,-62.2093323365592,438.62199999999871,0.93473253135398016,1.2603036577347666,39.198413184611127,0.0033722438383847475,0.00016784924082458019,1.3380075746162405,0.0043945983052253723,0.0045471885241568089,0.0034528867335199085,0.0035778033209758241,0.003524834057316184,0.0032501716632395983,0.0032043945975601673,0.00023058383826677793,0.00024153459313182529,0.0037232013419270515,212.64883085556957,315.95363997448493,0.0,213.73822562979188,315.1767981014969,174.0,365.0,0.0,1,14.299825054809491,2.1352200773468102,nan,30.619236920094544,1,7.0,0.46702094804410094,6.0,1,2.1184962710941022,0.26671769357375297
8,1,0,nan,monochrome,nan,nan,7,nan,0,0,nan,1,1,578,662,161,0,nan,nan,7,11601,217.0,315.0,1.0,1.0654642341694891,0.68489138648415215,1.0,0.68856837606837606,0.72961563316474842,143.13601311225759,147.46185947559457,49.203658400570177,18.058382244654865,16.0,109.32008476877495,104.29536509403432,-63.593290075390371,446.99799999999874,0.94351592045870425,1.3170672208070755,41.689738472923636,0.0033722438383847475,0.00018310826271772385,1.4287499956233092,0.0046387426555156708,0.0046540019102394581,0.0034568693459503296,0.0035936331758403273,0.0035553521011024714,0.0032349126413464546,0.0032043945975601673,0.00025074164582314444,0.00025333314152775198,0.0037384603638201952,213.91134550295217,316.20544698387152,0.0,215.02103266959745,315.30549090595639,162.0,357.0,0.0,1,15.059285173385762,1.2892461903354053,nan,31.908483110429948,1,8.0,0.47195239965710944,7.0,1,1.2828070398055615,0.12869280445949016
9,1,0,nan,monochrome,nan,nan,8,nan,0,0,nan,1,1,578,662,161,0,nan,nan,8,11768,220.0,311.0,1.0,1.0868957205762979,0.72261584469954698,1.0,0.65084895746916649,0.70002073998370995,148.19557987831897,151.11915828246265,48.60041152089147,17.814318770304613,15.811388300841896,104.06421474999195,102.44017084627232,-61.831517146806227,459.62199999999854,0.94347791229054756,1.3424429728183895,42.404242167947814,0.0033875028602778912,0.00018310826271772385,1.4282067978579214,0.0044861524365842342,0.0046082246117293835,0.0034688448910035904,0.0036033516458147362,0.003570611122995615,0.0032501716632395983,0.003219653619453311,0.00024310922360632666,0.00025265988491017077,0.0037537193857133389,214.243156887493,317.71637692984245,0.0,215.36794697484703,316.83625084976205,162.0,365.0,0.0,1,16.546287175376211,1.5695781410132843,nan,33.478061251443229,1,9.0,0.49424269377794106,8.0,1,0.34691430524958378,1.5307599438056627
10,1,0,nan,monochrome,nan,nan,9,nan,0,0,nan,1,1,578,662,161,0,nan,nan,9,12684,215.0,320.0,1.0,1.0769433828212767,0.70620761619801153,1.0,0.67561521252796419,0.69699943004710752,151.94521404134329,154.40207252495026,50.606323715519977,18.621298685151753,16.492422502470642,114.37520473718564,107.57794152222438,-62.762462375001817,478.20799999999861,0.93591588267847226,1.4051270354539156,45.689799516927451,0.0033875028602778912,0.00016784924082458019,1.4655014285491998,0.0044708936475217342,0.00476081483066082,0.0034609040282116148,0.0036021601637438862,0.0035553521011024714,0.0032349126413464546,0.003219653619453311,0.00024397096509078982,0.00025889867362038015,0.0037384603638201952,213.94106689683059,319.87003567815913,0.0,215.04911699779248,318.9109113844213,159.0,366.0,0.0,1,18.219509123491417,2.0990161715292204,nan,35.577077422972451,1,10.0,0.51211371037821418,9.0,1,-0.31882997705454841,2.0746605346592446
